Customer_ID,RM_ID,Rating,Feedback_Date,City
CUST000001,RM0186,4.1,08-04-2026,Ahmedabad
CUST000002,,3.6,2023-09-08,Kolkata
CUST000003,RM0117,4.2,2024-07-07,Delhi
CUST000004,RM0006,5.0,2026-04-28,Ahmedabad
CUST000005,RM0111,5.0,09/01/2026,Jaipur
CUST000005,RM0111,,2025-08-13,Hyderabad
CUST000005,RM0111,4.4,2023-08-24,Hyderabad
CUST000006,RM0149,4.6,2025-07-26,Delhi
CUST000007,RM0241,4.0,2025-03-05,Bangalore
CUST000008,RM0005,3.4,2024-01-11,Lucknow
CUST000008,RM0005,4.4,2024-07-18,Mumbai
CUST000008,,3.6,09/01/2025,Ahmedabad
CUST000008,RM0005,3.0,2026-01-01,Pune
CUST000008,RM0005,3.6,2025-03-30,Kolkata
CUST000009,RM0219,2.4,2025-02-13,Mumbai
CUST000010,RM0142,2.8,16/05/2025,
CUST000011,RM0026,5.0,2025-02-02,Kolkata
CUST000012,RM0070,5.0,2025-02-09,Bangalore
CUST000013,RM0033,3.8,2024-11-19,Pune
CUST000014,RM0204,4.5,2023-03-13,Hyderabad
CUST000015,RM0048,3.0,2025-07-23,Lucknow
CUST000015,,4.7,2024-09-27,Hyderabad
CUST000016,RM0170,4.3,2023-08-28,Mumbai
CUST000017,,3.3,2026-05-10,Bangalore
CUST000017,,3.7,2024-06-23,Bangalore
CUST000017,,3.6,2023-08-19,Kolkata
CUST000017,,4.9,17/03/2025,Hyderabad
CUST000018,RM0088,3.9,2024-05-01,Delhi
CUST000018,RM0088,2.4,,
CUST000018,RM0088,3.6,2023-08-02,Delhi
CUST000019,RM0207,6.0,2024-09-21,Ahmedabad
CUST000020,RM0136,3.2,02-10-2023,Jaipur
CUST000020,RM0136,2.5,2024-05-18,Jaipur
CUST000021,RM0188,3.2,09/04/2026,
CUST000021,RM0188,1.8,2024-03-18,Mumbai
CUST000021,,3.1,2024-05-19,Hyderabad
CUST000021,RM0188,4.2,2023-07-27,Mumbai
CUST000021,RM0188,4.5,2024-09-28,Hyderabad
CUST000022,,4.5,07-01-2024,Delhi
CUST000023,RM0228,5.0,2023-08-02,Pune
CUST000024,,5.0,2023-07-19,Delhi
CUST000025,,3.0,2024-05-01,Jaipur
CUST000025,,2.6,2023-01-05,Ahmedabad
CUST000025,,4.0,2023-10-05,Pune
CUST000025,,4.5,2025-06-09,Hyderabad
CUST000026,,3.2,2024-11-13,Jaipur
CUST000027,RM0085,4.3,02/07/2023,Delhi
CUST000027,RM0085,5.0,2024-09-23,Delhi
CUST000027,RM0085,2.7,2023-03-20,Jaipur
CUST000027,RM0085,0.0,2023-11-06,Lucknow
CUST000027,RM0085,4.0,07-31-2023,Kolkata
CUST000028,RM0055,5.0,02/01/2026,Ahmedabad
CUST000029,RM0208,3.8,21/03/2024,Pune
CUST000030,RM0042,4.4,2023-11-10,Ahmedabad
CUST000031,RM0229,4.9,10-12-2025,Chennai
CUST000032,RM0095,3.7,,Jaipur
CUST000033,RM0096,2.9,2023-01-17,Hyderabad
CUST000034,,3.9,2026-02-03,Chennai
CUST000035,RM0178,2.9,11-29-2023,Lucknow
CUST000036,RM0064,3.4,2026-06-01,Mumbai
CUST000037,RM0167,4.4,04-25-2024,Chennai
CUST000038,RM0210,4.2,2025-12-26,
CUST000039,RM0083,5.0,2023-08-31,Jaipur
CUST000040,RM0169,4.2,11/06/2023,Bangalore
CUST000041,RM0076,3.2,07/01/2025,Bangalore
CUST000041,RM0076,3.0,2023-01-24,Hyderabad
CUST000042,RM0190,4.6,16/12/2025,Ahmedabad
CUST000043,RM0236,4.2,05-03-2025,Chennai
CUST000044,RM0059,3.8,2024-07-08,Jaipur
CUST000045,RM0143,4.3,2024-11-11,Delhi
CUST000046,RM0091,3.3,2025-09-27,Kolkata
CUST000046,RM0091,1.6,06-30-2023,Chennai
CUST000047,RM0023,5.0,2024-06-10,
CUST000048,RM0029,4.6,07-08-2024,Hyderabad
CUST000049,RM0110,3.9,,Kolkata
CUST000050,RM0216,3.1,2025-02-02,Chennai
CUST000051,RM0185,3.8,20/11/2025,Hyderabad
CUST000052,RM0246,2.3,02-07-2025,Hyderabad
CUST000053,RM0032,4.1,2023-01-10,Chennai
CUST000054,,2.1,2024-10-18,Hyderabad
CUST000055,RM0175,4.1,2023-06-23,Hyderabad
CUST000056,RM0150,3.3,,Hyderabad
CUST000057,RM0246,3.9,2024-05-17,Chennai
CUST000058,,,2025-08-02,Hyderabad
CUST000059,RM0242,2.9,2026-03-02,Delhi
CUST000060,RM0095,5.0,,Kolkata
CUST000061,RM0149,4.4,2024-06-14,Delhi
CUST000061,RM0149,3.3,06-07-2026,Lucknow
CUST000061,RM0149,3.8,02-16-2026,Mumbai
CUST000061,RM0149,5.0,01-30-2025,Delhi
CUST000062,RM0187,3.1,2024-11-13,Ahmedabad
CUST000063,RM0066,2.9,2024-02-06,Chennai
CUST000063,RM0066,2.8,,Kolkata
CUST000063,RM0066,3.3,2026-03-30,Pune
CUST000063,RM0066,5.0,11-29-2024,Mumbai
CUST000064,RM0070,3.4,2023-06-01,Jaipur
CUST000065,,3.6,2025-09-03,Bangalore
CUST000065,RM0096,4.2,2025-12-30,Chennai
CUST000065,RM0096,4.0,2024-09-15,Jaipur
CUST000065,RM0096,5.0,03-24-2025,Mumbai
CUST000066,RM0101,4.8,2026-04-01,Lucknow
CUST000066,RM0101,4.3,2023-10-24,
CUST000066,,3.8,2024-10-25,Ahmedabad
CUST000066,RM0101,5.0,30/09/2024,Kolkata
CUST000066,RM0101,3.2,2024-05-03,Pune
CUST000067,RM0243,3.1,10-30-2025,Chennai
CUST000068,RM0147,3.6,25/02/2023,Kolkata
CUST000069,RM0050,5.0,2025-08-26,Hyderabad
CUST000070,RM0109,3.2,2025-06-04,Jaipur
CUST000070,RM0109,6.0,2025-10-20,Lucknow
CUST000070,RM0109,3.4,18/02/2023,Jaipur
CUST000070,RM0109,4.2,2024-01-16,Chennai
CUST000071,RM0081,3.9,2026-03-05,Delhi
CUST000072,RM0012,3.6,31/07/2025,Lucknow
CUST000073,RM0011,4.5,2024-10-30,Kolkata
CUST000074,RM0075,3.5,2023-10-01,Bangalore
CUST000075,,5.0,2025-11-05,Hyderabad
CUST000075,,4.2,2025-06-05,Chennai
CUST000075,,5.0,2025-12-28,Ahmedabad
CUST000075,,3.2,16/05/2023,Jaipur
CUST000075,,3.9,25/10/2024,Kolkata
CUST000076,RM0001,10.0,17/09/2025,Delhi
CUST000076,,2.1,2026-07-16,Bangalore
CUST000077,RM0128,5.0,2024-11-03,Pune
CUST000078,,5.0,2025-04-23,Lucknow
CUST000079,,-1.0,03-24-2024,Jaipur
CUST000080,RM0219,3.7,2025-03-31,Pune
CUST000081,RM0145,4.4,,Bangalore
CUST000082,RM0014,4.1,,Bangalore
CUST000083,RM0045,2.7,2024-10-12,Jaipur
CUST000084,RM0079,5.0,2024-12-27,Pune
CUST000085,RM0179,3.7,02/06/2024,Chennai
CUST000085,,2.0,08-22-2024,Pune
CUST000085,RM0179,3.3,02-07-2025,Ahmedabad
CUST000085,RM0179,2.6,2023-12-31,Lucknow
CUST000085,RM0179,4.1,07-26-2026,Pune
CUST000086,RM0243,4.1,2023-01-15,Mumbai
CUST000087,RM0123,5.0,2026-07-23,Hyderabad
CUST000088,RM0211,5.0,2026-07-28,Jaipur
CUST000089,,5.0,2023-01-17,Hyderabad
CUST000090,RM0220,3.0,07-23-2026,Mumbai
CUST000091,RM0181,4.6,24/02/2026,
CUST000092,RM0074,4.8,2024-07-21,Jaipur
CUST000092,RM0074,3.5,2026-03-25,Ahmedabad
CUST000092,RM0074,4.3,2024-05-27,Jaipur
CUST000092,RM0074,4.4,2025-03-26,
CUST000093,RM0063,3.5,2026-01-09,
CUST000094,,5.0,06-24-2025,Pune
CUST000095,RM0208,4.2,2025-05-02,Chennai
CUST000095,RM0208,3.8,2026-03-01,Jaipur
CUST000095,RM0208,2.8,2024-09-14,Delhi
CUST000095,RM0208,5.0,2023-08-18,Mumbai
CUST000095,RM0208,4.1,02-25-2023,Bangalore
CUST000096,,4.1,08-14-2023,Kolkata
CUST000097,RM0123,10.0,2025-02-20,Mumbai
CUST000097,RM0123,3.2,2023-02-06,Lucknow
CUST000097,RM0123,4.9,06-19-2025,Chennai
CUST000097,RM0123,2.9,2023-10-06,Chennai
CUST000098,RM0211,1.8,2025-04-12,Mumbai
CUST000099,,3.3,2025-04-26,Hyderabad
CUST000100,,4.3,2023-02-01,Ahmedabad
CUST000101,RM0038,4.3,2023-06-30,Bangalore
CUST000102,RM0058,4.1,2023-11-02,Jaipur
CUST000103,RM0250,3.8,2025-03-22,Ahmedabad
CUST000104,,4.2,2025-02-25,Jaipur
CUST000104,,5.0,2023-04-18,Mumbai
CUST000104,,4.2,2023-02-21,Hyderabad
CUST000104,,3.6,2024-07-10,Pune
CUST000104,,3.9,2025-01-13,Lucknow
CUST000105,RM0128,3.8,2024-06-26,Mumbai
CUST000106,,4.1,01-09-2023,Hyderabad
CUST000106,RM0026,3.1,2026-02-22,Chennai
CUST000106,RM0026,4.8,2023-01-26,Jaipur
CUST000107,RM0151,4.3,2026-02-19,Bangalore
CUST000108,RM0158,3.2,,
CUST000109,RM0044,5.0,,Kolkata
CUST000110,RM0135,2.1,08-24-2023,Kolkata
CUST000110,,5.0,2024-12-28,Lucknow
CUST000111,RM0179,5.0,05/06/2025,Bangalore
CUST000112,RM0219,5.0,2024-04-23,Jaipur
CUST000113,RM0063,3.5,2026-04-29,Lucknow
CUST000114,,4.2,2023-09-09,Chennai
CUST000115,RM0100,3.4,2025-10-02,Hyderabad
CUST000116,RM0173,4.4,2025-04-19,Mumbai
CUST000117,RM0103,4.0,2023-10-23,Mumbai
CUST000118,RM0028,3.5,21/06/2024,Delhi
CUST000119,RM0132,3.5,2025-12-22,Lucknow
CUST000120,RM0152,4.1,2023-12-11,Kolkata
CUST000120,RM0152,5.0,02-04-2024,Bangalore
CUST000121,RM0208,5.0,2023-07-11,Kolkata
CUST000122,RM0076,4.1,2025-02-03,Hyderabad
CUST000123,RM0136,3.8,02/12/2023,Pune
CUST000123,RM0136,4.6,2023-01-22,Pune
CUST000123,RM0136,3.4,2025-04-09,Kolkata
CUST000123,RM0136,0.0,09-11-2024,Bangalore
CUST000124,,3.8,2023-10-09,Ahmedabad
CUST000124,,2.0,06-06-2024,Bangalore
CUST000124,,4.1,2025-03-16,Lucknow
CUST000125,RM0145,,18/03/2025,Hyderabad
CUST000126,RM0212,4.1,2025-08-25,Bangalore
CUST000127,RM0212,3.5,2024-06-18,Jaipur
CUST000128,RM0168,4.5,2024-10-11,Pune
CUST000129,RM0174,4.1,2023-02-24,Hyderabad
CUST000130,RM0128,3.5,2026-06-26,Delhi
CUST000131,RM0085,4.8,2024-10-23,Delhi
CUST000132,,3.8,2023-11-28,Mumbai
CUST000133,,3.0,2023-03-28,Bangalore
CUST000134,RM0116,2.2,29/07/2026,Ahmedabad
CUST000135,,5.0,2026-02-10,Ahmedabad
CUST000136,,4.1,2023-02-03,Delhi
CUST000137,RM0011,4.1,2024-08-11,Delhi
CUST000138,RM0098,4.0,2025-08-07,Jaipur
CUST000139,RM0021,5.0,2026-06-30,Chennai
CUST000140,RM0135,4.1,2025-07-10,Pune
CUST000141,RM0115,5.0,2024-12-03,Mumbai
CUST000142,RM0076,4.1,2025-03-26,Delhi
CUST000143,RM0245,1.3,2024-09-26,Delhi
CUST000144,RM0059,5.0,2024-04-11,Mumbai
CUST000145,RM0026,4.3,2023-09-05,Lucknow
CUST000146,RM0223,3.5,04/09/2025,Kolkata
CUST000147,RM0232,3.7,2024-09-28,Lucknow
CUST000148,RM0197,3.7,,Ahmedabad
CUST000149,RM0140,2.8,,Bangalore
CUST000150,RM0051,4.9,2023-11-29,Chennai
CUST000151,RM0219,3.6,16/01/2024,Lucknow
CUST000152,RM0047,3.1,2024-04-01,Hyderabad
CUST000153,RM0133,5.0,08-08-2026,Pune
CUST000154,RM0125,2.8,20/06/2023,Delhi
CUST000155,RM0113,3.9,2024-09-09,Mumbai
CUST000155,RM0113,1.7,2024-08-23,Hyderabad
CUST000155,RM0113,5.0,2026-07-05,Pune
CUST000155,RM0113,3.7,2023-04-22,Lucknow
CUST000156,RM0040,4.8,07/04/2025,Chennai
CUST000156,RM0040,3.1,2023-02-17,Mumbai
CUST000156,RM0040,2.4,02-19-2025,Chennai
CUST000156,RM0040,3.3,2025-01-22,Ahmedabad
CUST000156,RM0040,5.0,2025-06-21,Kolkata
CUST000157,RM0158,4.6,2024-10-08,Mumbai
CUST000158,RM0176,2.4,2023-05-08,Hyderabad
CUST000159,RM0008,1.6,2023-06-30,Ahmedabad
CUST000160,RM0225,3.7,2024-04-18,Bangalore
CUST000161,,5.0,2025-05-28,Chennai
CUST000161,,3.2,10-20-2025,Delhi
CUST000161,,5.0,2023-10-28,Lucknow
CUST000162,RM0133,4.1,06-27-2023,Hyderabad
CUST000163,RM0168,5.0,2025-07-14,Ahmedabad
CUST000164,RM0151,3.3,2026-02-26,Kolkata
CUST000165,RM0237,3.9,02/12/2024,Delhi
CUST000166,RM0109,3.3,30/09/2024,Hyderabad
CUST000167,RM0122,5.0,2024-08-26,Mumbai
