RM_ID,Month,Target,Achievement,Achievement_Pct
RM0001,2023-01,204208,156604,76.68847449659171
RM0001,2023-03,62458,85117,136.2787793397163
RM0001,2023-04,142154,161305,113.47200922942724
RM0001,2023-05,141155,230864,163.55354043427437
RM0001,2023-06,172719,291016,168.4910172013502
RM0001,2023-07,157178,116136,73.88820318365165
RM0001,2023-08,115878,125518,108.31909421978287
RM0001,2023-10,163250,217286,133.10015313935682
RM0001,2023-11,0,0,0.0
RM0001,2023-12,211311,310179,146.7879097633346
RM0001,2024-01,219326,224313,102.27378422986786
RM0001,2024-03,768375,697084,90.72184805596225
RM0001,2024-04,66906,102517,153.22542073954503
RM0001,2024-05,85776,117506,136.99169930983027
RM0001,2024-06,79580,25888,32.530786629806485
RM0001,2024-07,142154,159220,112.00529003756489
RM0001,2024-08,142154,0,0.0
RM0001,2024-09,120978,109166,90.23624130007109
RM0001,2024-10,66911,39913,59.65087952653525
RM0001,2024-11,266987,388419,145.48236430987276
RM0001,2024-12,305141,476548,156.17304786967335
RM0002,2023-01,131821,211088,160.13230061977987
RM0002,2023-02,161962,162916,100.58902705572912
RM0002,2023-03,240162,149075,62.07268427145011
RM0002,2023-04,283738,267905,94.41985211709394
RM0002,2023-05,70423,33730,47.89628388452636
RM0002,2023-06,77031,126011,163.58479053887396
RM0002,2023-07,755546,631228,83.5459389633457
RM0002,2023-08,101827,63963,62.81536331228455
RM0002,2023-09,310434,190547,61.38084101612581
RM0002,2023-10,436731,568198,130.10251161470103
RM0002,2023-11,391140,442385,113.10144705220637
RM0002,2023-12,226006,277803,122.91841809509482
RM0002,2024-01,316852,492321,155.37885195611833
RM0002,2024-02,183664,229352,124.87586026657374
RM0002,2024-03,432418,732861,169.479762637078
RM0002,2024-04,213708,66598,31.163082336646262
RM0002,2024-05,66541,105594,158.69013089674036
RM0002,2024-06,63277,39249,62.02727689365805
RM0002,2024-07,183664,105719,57.56108981618608
RM0002,2024-08,89311,107204,120.03448623349868
RM0002,2024-09,178927,131355,73.41262078948398
RM0002,2024-10,84905,122840,144.67934750603615
RM0002,2024-11,461061,174838,37.920795729849196
RM0002,2024-12,71438,90243,126.32352529466111
RM0003,2023-01,294784,438279,148.67801508901434
RM0003,2023-02,240775,392738,163.11411068424877
RM0003,2023-03,86760,39990,46.09266943291839
RM0003,2023-04,193318,296436,153.34112705490435
RM0003,2023-05,180856,315502,174.4492856194984
RM0003,2023-06,288125,389310,135.1184381778742
RM0003,2023-07,59322,27383,46.15994066282323
RM0003,2023-08,280454,167531,59.735642921833886
RM0003,2023-09,54388,90618,166.61395896153564
RM0003,2023-10,382193,239912,62.7724735931846
RM0003,2023-11,277259,103131,37.19662842324325
RM0003,2023-12,100333,82743,82.46838029362223
RM0003,2024-01,196592,284029,144.476377472125
RM0003,2024-02,51568,40703,78.93073223704623
RM0003,2024-03,86185,154975,179.8166734350525
RM0003,2024-04,216746,196915,90.8505808642374
RM0003,2024-05,61800,74036,119.79935275080906
RM0003,2024-06,203958,310956,152.46080075309624
RM0003,2024-10,101073,179115,177.21349915407677
RM0003,2024-11,136829,101789,74.39139363731373
RM0003,2024-12,114260,123329,107.93716086119376
RM0004,2023-02,463984,650848,140.27380254491536
RM0004,2023-03,179096,97466,54.42109259838299
RM0004,2023-04,74263,78220,105.32836001777466
RM0004,2023-05,245684,350472,142.65153611956822
RM0004,2023-06,88410,39797,45.01413867209592
RM0004,2023-07,122788,205947,167.72567351858487
RM0004,2023-08,168239,131251,78.01461016767813
RM0004,2023-09,108653,54123,49.81270650603297
RM0004,2023-10,146146,217325,148.70403569033707
RM0004,2023-11,568944,598752,105.23917995444192
RM0004,2023-12,77446,102571,132.44195955891846
RM0004,2024-01,262075,106808,40.75474577888009
RM0004,2024-03,334707,516782,154.39832450471607
RM0004,2024-04,145952,166477,114.06284257838193
RM0004,2024-05,237454,312281,131.5122086804181
RM0004,2024-06,52501,25392,48.36479305156092
RM0004,2024-07,76616,109830,143.35125822282552
RM0004,2024-08,136995,153195,111.82524909668237
RM0004,2024-09,272214,220894,81.14718567009778
RM0004,2024-10,257279,247875,96.34482410146184
RM0004,2024-11,121024,96765,79.95521549444739
RM0004,2024-12,552624,805703,145.7958756767712
RM0005,2023-01,53060,92118,173.61100640784016
RM0005,2023-02,274041,143532,52.37610430556011
RM0005,2023-03,61911,47194,76.22878002293615
RM0005,2023-04,196797,241040,122.48154189342317
RM0005,2023-05,98413,95314,96.85102577911455
RM0005,2023-06,85717,32218,37.58647642824644
RM0005,2023-07,159151,130581,82.04849482566871
RM0005,2023-08,167422,287925,171.97560655111036
RM0005,2023-09,73212,22179,30.294214063268317
RM0005,2023-10,61999,61630,99.40482911014695
RM0005,2023-11,234102,274167,117.11433477714843
RM0005,2023-12,152448,126675,83.09390743073047
RM0005,2024-01,105653,91329,86.44241053259253
RM0005,2024-02,191871,105841,55.162583193916745
RM0005,2024-03,271342,315538,116.28793183510109
RM0005,2024-04,139234,0,0.0
RM0005,2024-05,154318,269156,174.41646470275666
RM0005,2024-06,53105,31824,59.9265605875153
RM0005,2024-07,139234,175108,125.7652584857147
RM0005,2024-08,85782,145581,169.7104287612786
RM0005,2024-09,204323,330216,161.61469829632495
RM0005,2024-10,109919,169652,154.34274329278833
RM0005,2024-11,121275,82361,67.91259534116676
RM0005,2024-12,413976,181457,43.8327342647883
RM0006,2023-01,479413,473551,98.77725468437444
RM0006,2023-02,786458,872490,110.93917284839114
RM0006,2023-03,262505,81535,31.06036075503324
RM0006,2023-04,152975,215110,140.6177479980389
RM0006,2023-06,279059,149875,53.70728053924081
RM0006,2023-07,131443,130031,98.92577010567318
RM0006,2023-08,131469,59879,45.54609831975599
RM0006,2023-09,137790,208151,151.0639378764787
RM0006,2023-10,103539,98244,94.88598499116276
RM0006,2023-11,536470,186456,34.75609074132757
RM0006,2023-12,184297,260808,141.51505450441405
RM0006,2024-01,264619,363561,137.39036123634358
RM0006,2024-02,244441,94969,38.85150199843725
RM0006,2024-03,164579,242664,147.44529982561568
RM0006,2024-04,236872,0,0.0
RM0006,2024-06,51818,78858,152.18263923733068
RM0006,2024-07,236872,217521,91.83060893647202
RM0006,2024-08,473005,685808,144.98958784790858
RM0006,2024-09,565652,958199,169.39726192075693
RM0006,2024-10,148462,212607,143.20634236370248
RM0006,2024-11,215932,327605,151.71674416019857
RM0006,2024-12,282455,149658,52.98472323024907
RM0007,2023-01,89934,62827,69.85900771677007
RM0007,2023-02,305973,463889,151.6110898674066
RM0007,2023-03,152579,178707,117.12424383434154
RM0007,2023-04,313102,240741,76.88900102841886
RM0007,2023-06,57722,59101,102.38903710890128
RM0007,2023-07,417518,620307,148.57012152769462
RM0007,2023-08,118502,47063,39.714941519974346
RM0007,2023-09,201969,164748,81.57093415326115
RM0007,2023-10,319809,414927,129.74212733225144
RM0007,2023-11,133027,64522,48.50293549429815
RM0007,2023-12,412487,294489,71.39352270495797
RM0007,2024-01,88095,134253,152.39570917759238
RM0007,2024-02,646243,833808,129.0239120578482
RM0007,2024-03,197048,153529,77.91451828995982
RM0007,2024-04,53093,31202,58.76857589512742
RM0007,2024-05,181715,95759,52.697355749387775
RM0007,2024-06,372912,217115,58.22151070493843
RM0007,2024-07,160754,171688,106.80169700287396
RM0007,2024-08,188930,149472,79.11501614354522
RM0007,2024-09,360167,348084,96.6451673806873
RM0007,2024-10,230672,289231,125.38626274537006
RM0007,2024-11,68691,84761,123.39462229404144
RM0007,2024-12,170010,280160,164.7903064525616
RM0008,2023-01,369139,194326,52.64304232281065
RM0008,2023-03,62782,46577,74.18846166098562
RM0008,2023-04,697019,231661,33.23596630794856
RM0008,2023-05,217619,263921,121.27663485265532
RM0008,2023-06,206013,129258,62.74264245460238
RM0008,2023-07,88566,83780,94.5961204073798
RM0008,2023-08,127794,141794,110.95513091381441
RM0008,2023-09,65115,26822,41.19173769484758
RM0008,2023-10,63876,74062,115.9465213851838
RM0008,2023-11,126060,93337,74.04172616214501
RM0008,2023-12,106929,65325,61.091939511264485
RM0008,2024-01,129528,78310,60.457970477425725
