Customer_ID,RM_ID,Rating,Feedback_Date,City,Sentiment
CUST000001,RM0186,4.1,2026-08-04 00:00:00.000000,Ahmedabad,Positive
CUST000002,RM0204,3.6,2023-09-08 00:00:00.000000,Kolkata,Neutral
CUST000003,RM0117,4.2,2024-07-07 00:00:00.000000,Delhi,Positive
CUST000004,RM0006,5.0,2026-04-28 00:00:00.000000,Ahmedabad,Positive
CUST000005,RM0111,5.0,2026-01-09 00:00:00.000000,Jaipur,Positive
CUST000005,RM0111,4.0,2025-08-13 00:00:00.000000,Hyderabad,Positive
CUST000005,RM0111,4.4,2023-08-24 00:00:00.000000,Hyderabad,Positive
CUST000006,RM0149,4.6,2025-07-26 00:00:00.000000,Delhi,Positive
CUST000007,RM0241,4.0,2025-03-05 00:00:00.000000,Bangalore,Positive
CUST000008,RM0005,3.4,2024-01-11 00:00:00.000000,Lucknow,Neutral
CUST000008,RM0005,4.4,2024-07-18 00:00:00.000000,Mumbai,Positive
CUST000008,RM0111,3.6,2025-01-09 00:00:00.000000,Ahmedabad,Neutral
CUST000008,RM0005,3.0,2026-01-01 00:00:00.000000,Pune,Neutral
CUST000008,RM0005,3.6,2025-03-30 00:00:00.000000,Kolkata,Neutral
CUST000009,RM0219,2.4,2025-02-13 00:00:00.000000,Mumbai,Negative
CUST000010,RM0142,2.8,2025-05-16 00:00:00.000000,Jaipur,Negative
CUST000011,RM0026,5.0,2025-02-02 00:00:00.000000,Kolkata,Positive
CUST000012,RM0070,5.0,2025-02-09 00:00:00.000000,Bangalore,Positive
CUST000013,RM0033,3.8,2024-11-19 00:00:00.000000,Pune,Neutral
CUST000014,RM0204,4.5,2023-03-13 00:00:00.000000,Hyderabad,Positive
CUST000015,RM0048,3.0,2025-07-23 00:00:00.000000,Lucknow,Neutral
CUST000015,RM0148,4.7,2024-09-27 00:00:00.000000,Hyderabad,Positive
CUST000016,RM0170,4.3,2023-08-28 00:00:00.000000,Mumbai,Positive
CUST000017,RM0083,3.3,2026-05-10 00:00:00.000000,Bangalore,Neutral
CUST000017,RM0093,3.7,2024-06-23 00:00:00.000000,Bangalore,Neutral
CUST000017,RM0156,3.6,2023-08-19 00:00:00.000000,Kolkata,Neutral
CUST000017,RM0052,4.9,2025-03-17 00:00:00.000000,Hyderabad,Positive
CUST000018,RM0088,3.9,2024-05-01 00:00:00.000000,Delhi,Neutral
CUST000018,RM0088,2.4,2026-05-22 10:32:46.362595,Jaipur,Negative
CUST000018,RM0088,3.6,2023-08-02 00:00:00.000000,Delhi,Neutral
CUST000019,RM0207,4.0,2024-09-21 00:00:00.000000,Ahmedabad,Positive
CUST000020,RM0136,3.2,2023-02-10 00:00:00.000000,Jaipur,Neutral
CUST000020,RM0136,2.5,2024-05-18 00:00:00.000000,Jaipur,Negative
CUST000021,RM0188,3.2,2026-04-09 00:00:00.000000,Jaipur,Neutral
CUST000021,RM0188,1.8,2024-03-18 00:00:00.000000,Mumbai,Negative
CUST000021,RM0239,3.1,2024-05-19 00:00:00.000000,Hyderabad,Neutral
CUST000021,RM0188,4.2,2023-07-27 00:00:00.000000,Mumbai,Positive
CUST000021,RM0188,4.5,2024-09-28 00:00:00.000000,Hyderabad,Positive
CUST000022,RM0064,4.5,2024-07-01 00:00:00.000000,Delhi,Positive
CUST000023,RM0228,5.0,2023-08-02 00:00:00.000000,Pune,Positive
CUST000024,RM0240,5.0,2023-07-19 00:00:00.000000,Delhi,Positive
CUST000025,RM0077,3.0,2024-05-01 00:00:00.000000,Jaipur,Neutral
CUST000025,RM0027,2.6,2023-01-05 00:00:00.000000,Ahmedabad,Negative
CUST000025,RM0109,4.0,2023-10-05 00:00:00.000000,Pune,Positive
CUST000025,RM0045,4.5,2025-06-09 00:00:00.000000,Hyderabad,Positive
CUST000026,RM0130,3.2,2024-11-13 00:00:00.000000,Jaipur,Neutral
CUST000027,RM0085,4.3,2023-07-02 00:00:00.000000,Delhi,Positive
CUST000027,RM0085,5.0,2024-09-23 00:00:00.000000,Delhi,Positive
CUST000027,RM0085,2.7,2023-03-20 00:00:00.000000,Jaipur,Negative
CUST000027,RM0085,4.0,2023-11-06 00:00:00.000000,Lucknow,Positive
CUST000027,RM0085,4.0,2023-07-31 00:00:00.000000,Kolkata,Positive
CUST000028,RM0055,5.0,2026-01-02 00:00:00.000000,Ahmedabad,Positive
CUST000029,RM0208,3.8,2024-03-21 00:00:00.000000,Pune,Neutral
CUST000030,RM0042,4.4,2023-11-10 00:00:00.000000,Ahmedabad,Positive
CUST000031,RM0229,4.9,2025-10-12 00:00:00.000000,Chennai,Positive
CUST000032,RM0095,3.7,2026-01-15 10:32:46.362764,Jaipur,Neutral
CUST000033,RM0096,2.9,2023-01-17 00:00:00.000000,Hyderabad,Negative
CUST000034,RM0168,3.9,2026-02-03 00:00:00.000000,Chennai,Neutral
CUST000035,RM0178,2.9,2023-11-29 00:00:00.000000,Lucknow,Negative
CUST000036,RM0064,3.4,2026-06-01 00:00:00.000000,Mumbai,Neutral
CUST000037,RM0167,4.4,2024-04-25 00:00:00.000000,Chennai,Positive
CUST000038,RM0210,4.2,2025-12-26 00:00:00.000000,Jaipur,Positive
CUST000039,RM0083,5.0,2023-08-31 00:00:00.000000,Jaipur,Positive
CUST000040,RM0169,4.2,2023-06-11 00:00:00.000000,Bangalore,Positive
CUST000041,RM0076,3.2,2025-01-07 00:00:00.000000,Bangalore,Neutral
CUST000041,RM0076,3.0,2023-01-24 00:00:00.000000,Hyderabad,Neutral
CUST000042,RM0190,4.6,2025-12-16 00:00:00.000000,Ahmedabad,Positive
CUST000043,RM0236,4.2,2025-05-03 00:00:00.000000,Chennai,Positive
CUST000044,RM0059,3.8,2024-07-08 00:00:00.000000,Jaipur,Neutral
CUST000045,RM0143,4.3,2024-11-11 00:00:00.000000,Delhi,Positive
CUST000046,RM0091,3.3,2025-09-27 00:00:00.000000,Kolkata,Neutral
CUST000046,RM0091,1.6,2023-06-30 00:00:00.000000,Chennai,Negative
CUST000047,RM0023,5.0,2024-06-10 00:00:00.000000,Jaipur,Positive
CUST000048,RM0029,4.6,2024-07-08 00:00:00.000000,Hyderabad,Positive
CUST000049,RM0110,3.9,2026-06-08 10:32:46.362828,Kolkata,Neutral
CUST000050,RM0216,3.1,2025-02-02 00:00:00.000000,Chennai,Neutral
CUST000051,RM0185,3.8,2025-11-20 00:00:00.000000,Hyderabad,Neutral
CUST000052,RM0246,2.3,2025-02-07 00:00:00.000000,Hyderabad,Negative
CUST000053,RM0032,4.1,2023-01-10 00:00:00.000000,Chennai,Positive
CUST000054,RM0190,2.1,2024-10-18 00:00:00.000000,Hyderabad,Negative
CUST000055,RM0175,4.1,2023-06-23 00:00:00.000000,Hyderabad,Positive
CUST000056,RM0150,3.3,2026-03-07 10:32:46.362903,Hyderabad,Neutral
CUST000057,RM0246,3.9,2024-05-17 00:00:00.000000,Chennai,Neutral
CUST000058,RM0196,4.0,2025-08-02 00:00:00.000000,Hyderabad,Positive
CUST000059,RM0242,2.9,2026-03-02 00:00:00.000000,Delhi,Negative
CUST000060,RM0095,5.0,2025-12-31 10:32:46.362945,Kolkata,Positive
CUST000061,RM0149,4.4,2024-06-14 00:00:00.000000,Delhi,Positive
CUST000061,RM0149,3.3,2026-06-07 00:00:00.000000,Lucknow,Neutral
CUST000061,RM0149,3.8,2026-02-16 00:00:00.000000,Mumbai,Neutral
CUST000061,RM0149,5.0,2025-01-30 00:00:00.000000,Delhi,Positive
CUST000062,RM0187,3.1,2024-11-13 00:00:00.000000,Ahmedabad,Neutral
CUST000063,RM0066,2.9,2024-02-06 00:00:00.000000,Chennai,Negative
CUST000063,RM0066,2.8,2026-02-13 10:32:46.362984,Kolkata,Negative
CUST000063,RM0066,3.3,2026-03-30 00:00:00.000000,Pune,Neutral
CUST000063,RM0066,5.0,2024-11-29 00:00:00.000000,Mumbai,Positive
CUST000064,RM0070,3.4,2023-06-01 00:00:00.000000,Jaipur,Neutral
CUST000065,RM0086,3.6,2025-09-03 00:00:00.000000,Bangalore,Neutral
CUST000065,RM0096,4.2,2025-12-30 00:00:00.000000,Chennai,Positive
CUST000065,RM0096,4.0,2024-09-15 00:00:00.000000,Jaipur,Positive
CUST000065,RM0096,5.0,2025-03-24 00:00:00.000000,Mumbai,Positive
CUST000066,RM0101,4.8,2026-04-01 00:00:00.000000,Lucknow,Positive
CUST000066,RM0101,4.3,2023-10-24 00:00:00.000000,Jaipur,Positive
CUST000066,RM0084,3.8,2024-10-25 00:00:00.000000,Ahmedabad,Neutral
CUST000066,RM0101,5.0,2024-09-30 00:00:00.000000,Kolkata,Positive
CUST000066,RM0101,3.2,2024-05-03 00:00:00.000000,Pune,Neutral
CUST000067,RM0243,3.1,2025-10-30 00:00:00.000000,Chennai,Neutral
CUST000068,RM0147,3.6,2023-02-25 00:00:00.000000,Kolkata,Neutral
